user_id,age,signup_days_ago,stated_favorite_genres,affinity_Action,affinity_Comedy,affinity_Action-Comedy,affinity_Crime,affinity_Spy-Thriller,affinity_Sci-Fi,affinity_Drama,affinity_Romance,affinity_Horror,affinity_Animation,affinity_Thriller,affinity_Mystery,affinity_Fantasy,affinity_Documentary
1,70,1489,Mystery|Comedy|Animation,0.07275111029861504,0.12121363266946494,0.00031713518620699315,0.06800352657109655,0.0006844892846748024,0.009754877449569715,0.03915036370276308,0.015254651091468915,0.02668690254274728,0.09894999154193801,0.06693768900968065,0.40470515621206155,0.07450099468950445,0.00108947975020802
2,53,942,Spy-Thriller|Drama|Mystery,0.023074346256748767,0.004316541163915978,0.04311427456220006,0.10406504611448779,0.24210605283891337,0.015063940131825515,0.2046289945929435,0.012330889360794878,0.002016860208646173,1.284713463636051e-06,0.1017859116587512,0.1788845483362561,0.06738506912595506,0.0012262409350978667
3,71,305,Sci-Fi|Thriller|Fantasy,0.06418507705017545,0.08630687067569524,0.06248721031447128,4.455173536708645e-05,0.005699753477152063,0.2682246774506061,0.00021932178474728888,0.012480338664438338,0.06188137936201903,0.09822732947317574,0.20896637123503636,2.0773098066866333e-05,0.12846537503557331,0.002790970643475675
4,32,1254,Drama|Spy-Thriller|Animation,0.03753380202227139,0.00791314556866176,0.027982907389790538,0.0002008422282792676,0.2600837870265538,0.038129327599506636,0.29736661782014956,0.04135115397270903,0.0034147766142965147,0.1293754232125429,0.001626694354804122,0.022546767926098665,0.09061036220563767,0.04186439205869841
5,46,281,Romance|Thriller|Documentary,0.03541705994452163,0.0002814649933788874,4.79845536749754e-05,0.008488410879929902,0.0004670149409421732,0.0016326800374205377,0.03495850448274588,0.37861223097455804,0.08892693573592256,0.02244185086137354,0.28476874747144415,0.020954336846725454,0.008598705132160902,0.11440407314520121
6,67,189,Horror|Crime|Mystery,0.04527882424872037,0.04276638151652787,0.0721715555313688,0.19718688549039184,3.218756365709924e-05,0.009962124463154485,0.08987198924052868,0.022635138574439204,0.24404415610763994,5.081796412043333e-05,0.06507253314442223,0.16106533292779684,0.006669888295552907,0.04319218493167927
7,64,262,Comedy|Drama|Action,0.11657287651373187,0.44524088824536606,0.0011349039740914425,0.0019773316101153455,0.05978550185861992,0.003676042589932351,0.13671876079272363,0.038138928591591764,4.92836611580943e-06,0.0013561469107579958,0.001113635675953105,0.09049896415280956,0.0038343485983737317,0.09994674211981723
8,30,825,Crime|Documentary|Horror,0.0007714247270308556,0.014270972071364033,0.023891607302579606,0.3812275709553584,0.032886448885936365,0.0005225290585783654,0.016282774666173984,0.03927266122069887,0.1058220243683062,0.09478659341371552,0.0005635037341764115,0.10136119278852045,0.029387473285456857,0.15895322352210406
9,74,1009,Horror|Spy-Thriller|Comedy,0.023703143194681035,0.09632354600858663,0.038413668109301934,0.007540771348796409,0.2197359602396429,0.0003163059916289927,0.002260801828543653,0.014848019763230396,0.48217073194635995,0.011971209538454538,0.001254452822438093,0.00019988362517738473,0.0743576503960509,0.0269038551871071
10,39,956,Horror|Drama|Action,0.09915903959540244,3.336394051416005e-05,0.0023087571883099777,0.020878984523013948,4.558093415812681e-05,0.07456646672589194,0.15350245358355075,0.07958042321531865,0.36281604371176024,0.05445375339505812,0.05431226022511793,0.08744917334610779,0.007790780968493258,0.0031029186473026647
11,18,507,Mystery|Spy-Thriller|Thriller,0.012917051776035714,0.009425178849152437,0.00706520725345221,0.04660333248699844,0.2779248326166297,0.018461706270048096,0.024147813633154592,0.04017912999092499,0.005130728854629887,0.0021215939069501163,0.12154203551915198,0.3225126761264865,0.0312605102590014,0.08070820245738397
12,23,1106,Fantasy|Romance|Crime,0.05605296174522358,0.04505982860875851,0.027841557512232842,0.11122764342786444,0.03191641808262764,0.0008814316231464794,0.06710127115096318,0.117509374197607,0.012076784431902143,0.1104234476333542,0.015034513695863883,0.0018523971639076093,0.38593534298150123,0.01708702774504727
13,22,104,Action|Drama|Fantasy,0.21344474247663345,0.01652519278182554,0.10225188294155843,0.0005391042110209013,0.014450077008123023,0.004924317069441633,0.17642855116925688,0.0004224199666248284,0.09350325352643356,0.14501693618040704,0.002956229199843074,0.0658377909746232,0.16367367258797255,2.582990623598811e-05
14,36,184,Crime|Horror|Romance,0.05552296622232428,0.005398923012786793,0.00015220955501599347,0.36343056740043767,0.0832572827647783,6.274725917971121e-05,0.0010714148502109907,0.10449727545281222,0.19199748812848758,0.0991409362317813,0.00740972347945854,0.0001346924570897699,7.169575164752184e-05,0.08785207743398955
15,34,1131,Sci-Fi|Action-Comedy|Animation,0.008132795317263951,0.0802499965337357,0.1833578769912659,0.0045221813305114655,0.028093414320147374,0.24343064487053495,0.10384031523525632,0.003710918207377601,0.028883553272995282,0.16455349915352135,0.06133348810646599,0.012452100991225333,0.06381641210874742,0.013622803560951415
16,56,1713,Sci-Fi|Comedy|Spy-Thriller,0.1061339573228124,0.16335822142549158,0.029727983675602098,0.018995740635490643,0.12540057413398,0.42404231044540314,0.04747904161005194,0.013483439656322432,0.04173956846849177,0.00033895504550490274,0.0001770025817887188,0.015693077448455817,0.013423775049654339,6.35250095007975e-06
17,57,987,Romance|Spy-Thriller|Comedy,0.03623572724231687,0.11992670164415337,0.034475353305170375,0.023109101072252135,0.19005584703754103,0.008564098747719733,0.0046502722616537165,0.38435251717392616,0.057650964991409245,0.0007769804394856891,0.05311141076917482,0.0037766336721808506,0.011212894111180257,0.0721014975318359
18,32,384,Fantasy|Horror|Romance,0.0002701947028736815,0.1237817309619851,0.04527332299009862,0.0775579006347386,0.01071506656573285,0.008774976923906908,0.02130077141925187,0.13092887870426753,0.2054068942530732,0.12939926330724302,0.0231388576294442,0.0004701672469155292,0.2212340405994516,0.001747934061017322
19,72,979,Romance|Sci-Fi|Mystery,2.7134518576544466e-05,0.037590497224616444,0.01139145009819725,0.08990736501982781,0.0849032667670589,0.16337834383922245,0.13329831620779806,0.1822587984716162,0.001229231095883974,0.03591130854039906,0.09821047106380315,0.14204674669406947,0.01975224283779257,9.482762113812823e-05
20,61,1706,Action|Crime|Documentary,0.4762210358423052,0.064170190048501,0.02121563495222007,0.16704023614322563,2.4247429176285402e-05,4.828464697514873e-05,0.035625348389249425,0.05753554793342834,0.048225344374169074,4.894479405929382e-05,0.028210056237874568,1.253378225529235e-07,0.009415511525451697,0.09221949234554176
21,34,1794,Action-Comedy|Spy-Thriller|Drama,0.01602082682899594,0.03254797237601071,0.41995306086417655,0.0006868305731521285,0.15409203858241646,0.03485037951580973,0.08215601161058785,0.0316190317210288,0.057071638899265593,0.026458727410345096,0.006011423666959472,0.045355272748900395,0.022639782981292347,0.07053700222105888
22,31,83,Comedy|Animation|Romance,0.005006583209833283,0.2901307409850766,0.09906742862624025,0.06545389995293802,0.005347375480436822,0.0017796765359877156,0.007976938093318502,0.12870290937803244,0.023771988525805064,0.14663382774204048,0.12560950620107053,0.0653055485661568,0.035168137936774,4.5438766289686437e-05
23,66,1366,Horror|Mystery|Animation,0.012638823759438122,0.05880098358029651,0.022984919697211673,0.001750809946021895,0.0003792921309417961,0.00820556588028214,0.04103571796872256,4.729420372013031e-08,0.45077425852308617,0.07746255960453176,0.026945887074468017,0.2722841368821952,0.014553344724708844,0.012183652933891644
24,46,1598,Mystery|Thriller|Horror,0.004011627301779868,0.023226805998457917,0.0014151072777306719,0.0011444379288746544,1.3297861942478065e-06,2.7897720745132265e-05,0.03939718112863864,0.15749850432464216,0.1617409224905609,0.0017220230949978198,0.1641057411290945,0.27472369862331575,0.045589384322151705,0.125395338872816
25,16,1191,Thriller|Documentary|Spy-Thriller,0.09025520665252404,0.035590570095668767,0.0005501864871124369,0.0035948464078714285,0.14491759511022742,0.018278405471510228,0.0025266702738727526,0.004013553084340157,1.1421259640391521e-05,0.0018514204759885159,0.3937270375061331,0.00018510471917592084,0.01522016377221013,0.2892778186837246
26,53,1462,Horror|Thriller|Romance,0.0028150608106800247,0.0035464129990139454,0.024946764196281605,0.0426988473785217,0.026483694956514935,0.07712255696663588,0.011632895189488006,0.14370425100926643,0.32041336310321183,0.0019463718465891368,0.1756243954484303,0.016554826532255318,0.13147726367325152,0.021033295889859253
